Dependency=Geometry Building Type ACS	Dependency=PUMA	Option=<1940	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	source_count	source_weight	sampling_probability
5 to 9 Unit	"IN, 00401"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	112	2192	1.64E-05
50 or more Unit	"IN, 00401"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	95	1544	1.16E-05
Mobile Home	"IN, 00401"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	21	535	4.01E-06
Single-Family Attached	"IN, 00401"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	55	857	6.43E-06
Single-Family Detached	"IN, 00401"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2153	37282	0.000279745
10 to 19 Unit	"IN, 00402"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	101	3102	2.29E-05
2 Unit	"IN, 00402"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	36	895	6.61E-06
20 to 49 Unit	"IN, 00402"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	85	2907	2.15E-05
3 or 4 Unit	"IN, 00402"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	76	1891	1.40E-05
5 to 9 Unit	"IN, 00402"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	156	3813	2.82E-05
50 or more Unit	"IN, 00402"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	69	2286	1.69E-05
Mobile Home	"IN, 00402"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	65	1496	1.10E-05
Single-Family Attached	"IN, 00402"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	74	1712	1.26E-05
Single-Family Detached	"IN, 00402"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2783	50439	0.000372417
10 to 19 Unit	"IN, 00500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	58	2074	1.53E-05
2 Unit	"IN, 00500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	82	2288	1.69E-05
20 to 49 Unit	"IN, 00500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	73	1912	1.41E-05
3 or 4 Unit	"IN, 00500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	143	3649	2.70E-05
5 to 9 Unit	"IN, 00500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	116	3122	2.31E-05
50 or more Unit	"IN, 00500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	82	2072	1.53E-05
Mobile Home	"IN, 00500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	176	5198	3.84E-05
Single-Family Attached	"IN, 00500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	88	1879	1.39E-05
Single-Family Detached	"IN, 00500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2556	56902	0.000420856
10 to 19 Unit	"IN, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	36	720	5.28E-06
2 Unit	"IN, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	103	1818	1.33E-05
20 to 49 Unit	"IN, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	44	1054	7.74E-06
3 or 4 Unit	"IN, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	67	1064	7.81E-06
5 to 9 Unit	"IN, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	108	1759	1.29E-05
50 or more Unit	"IN, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	31	663	4.87E-06
Mobile Home	"IN, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	348	7162	5.26E-05
Single-Family Attached	"IN, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	67	1016	7.46E-06
Single-Family Detached	"IN, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	3579	58120	0.000426593
10 to 19 Unit	"IN, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	34	463	3.43E-06
2 Unit	"IN, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	79	1266	9.39E-06
20 to 49 Unit	"IN, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	30	440	3.26E-06
3 or 4 Unit	"IN, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	41	753	5.59E-06
5 to 9 Unit	"IN, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	44	1015	7.53E-06
50 or more Unit	"IN, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2729	74	5.49E-07
Mobile Home	"IN, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	220	3784	2.81E-05
Single-Family Attached	"IN, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	32	433	3.21E-06
Single-Family Detached	"IN, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2542	38389	0.000284778
10 to 19 Unit	"IN, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	35	887	6.52E-06
2 Unit	"IN, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	73	1192	8.76E-06
20 to 49 Unit	"IN, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	48	735	5.40E-06
3 or 4 Unit	"IN, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	81	1928	1.42E-05
5 to 9 Unit	"IN, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	67	1630	1.20E-05
50 or more Unit	"IN, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	17	530	3.89E-06
Mobile Home	"IN, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	280	5930	4.36E-05
Single-Family Attached	"IN, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	58	1061	7.79E-06
Single-Family Detached	"IN, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2703	44888	0.000329757
10 to 19 Unit	"IN, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	39	892	6.59E-06
2 Unit	"IN, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	76	1517	1.12E-05
20 to 49 Unit	"IN, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	40	949	7.01E-06
3 or 4 Unit	"IN, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	57	1164	8.60E-06
5 to 9 Unit	"IN, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	65	1762	1.30E-05
50 or more Unit	"IN, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	20	465	3.44E-06
Mobile Home	"IN, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	139	2724	2.01E-05
Single-Family Attached	"IN, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	47	921	6.81E-06
Single-Family Detached	"IN, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2936	45605	0.000336972
10 to 19 Unit	"IN, 01001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	95	2567	1.88E-05
2 Unit	"IN, 01001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	146	3174	2.33E-05
20 to 49 Unit	"IN, 01001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	74	1662	1.22E-05
3 or 4 Unit	"IN, 01001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	127	2393	1.75E-05
5 to 9 Unit	"IN, 01001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	146	3438	2.52E-05
50 or more Unit	"IN, 01001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	139	2295	1.68E-05
Mobile Home	"IN, 01001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	24	570	4.18E-06
Single-Family Attached	"IN, 01001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	73	1197	8.78E-06
Single-Family Detached	"IN, 01001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2270	44464	0.000326057
10 to 19 Unit	"IN, 01002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	138	3777	2.79E-05
2 Unit	"IN, 01002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	33	696	5.15E-06
20 to 49 Unit	"IN, 01002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	88	2561	1.89E-05
3 or 4 Unit	"IN, 01002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	89	2116	1.56E-05
5 to 9 Unit	"IN, 01002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	136	3809	2.82E-05
50 or more Unit	"IN, 01002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	81	1591	1.18E-05
Mobile Home	"IN, 01002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	118	2600	1.92E-05
Single-Family Attached	"IN, 01002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	88	1552	1.15E-05
Single-Family Detached	"IN, 01002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1828	35784	0.000264654
10 to 19 Unit	"IN, 01003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	12	311	2.26E-06
2 Unit	"IN, 01003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	3377	180	1.31E-06
20 to 49 Unit	"IN, 01003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2433	319	2.32E-06
3 or 4 Unit	"IN, 01003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	18	356	2.59E-06
5 to 9 Unit	"IN, 01003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	20	560	4.07E-06
50 or more Unit	"IN, 01003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	21	529	3.84E-06
Mobile Home	"IN, 01003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	105	1866	1.36E-05
Single-Family Attached	"IN, 01003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	20	426	3.09E-06
Single-Family Detached	"IN, 01003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2060	37323	0.000271076
10 to 19 Unit	"IN, 01100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	46	1087	8.08E-06
2 Unit	"IN, 01100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	115	1887	1.40E-05
20 to 49 Unit	"IN, 01100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	21	351	2.61E-06
3 or 4 Unit	"IN, 01100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	90	1784	1.33E-05
5 to 9 Unit	"IN, 01100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	61	1222	9.09E-06
50 or more Unit	"IN, 01100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	23	375	2.79E-06
Mobile Home	"IN, 01100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	238	3662	2.72E-05
Single-Family Attached	"IN, 01100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	62	758	5.64E-06
Single-Family Detached	"IN, 01100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	3490	45537	0.000338661
10 to 19 Unit	"IN, 01200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	187	5800	4.21E-05
2 Unit	"IN, 01200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	97	2949	2.14E-05
20 to 49 Unit	"IN, 01200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	135	4177	3.04E-05
3 or 4 Unit	"IN, 01200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	133	3630	2.64E-05
5 to 9 Unit	"IN, 01200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	196	5653	4.11E-05
50 or more Unit	"IN, 01200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	101	2412	1.75E-05
Mobile Home	"IN, 01200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	99	2266	1.65E-05
Single-Family Attached	"IN, 01200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	91	2220	1.61E-05
Single-Family Detached	"IN, 01200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2295	47190	0.000342918
10 to 19 Unit	"IN, 01300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	24	871	6.46E-06
2 Unit	"IN, 01300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	78	1986	1.47E-05
20 to 49 Unit	"IN, 01300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	37	1049	7.78E-06
3 or 4 Unit	"IN, 01300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	71	1657	1.23E-05
5 to 9 Unit	"IN, 01300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	91	2758	2.05E-05
50 or more Unit	"IN, 01300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	51	1375	1.02E-05
Mobile Home	"IN, 01300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	146	3005	2.23E-05
Single-Family Attached	"IN, 01300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	65	1567	1.16E-05
Single-Family Detached	"IN, 01300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2700	48508	0.000359786
10 to 19 Unit	"IN, 01400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	37	818	6.11E-06
2 Unit	"IN, 01400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	106	2306	1.72E-05
20 to 49 Unit	"IN, 01400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	47	1044	7.80E-06
3 or 4 Unit	"IN, 01400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	82	2230	1.67E-05
5 to 9 Unit	"IN, 01400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	72	1616	1.21E-05
50 or more Unit	"IN, 01400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	33	633	4.73E-06
Mobile Home	"IN, 01400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	240	3420	2.55E-05
Single-Family Attached	"IN, 01400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	99	1579	1.18E-05
Single-Family Detached	"IN, 01400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2913	46400	0.000346549
10 to 19 Unit	"IN, 01500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	25	451	3.37E-06
2 Unit	"IN, 01500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	80	1454	1.09E-05
20 to 49 Unit	"IN, 01500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	26	412	3.08E-06
3 or 4 Unit	"IN, 01500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	78	1259	9.41E-06
5 to 9 Unit	"IN, 01500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	79	1583	1.18E-05
50 or more Unit	"IN, 01500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	28	387	2.89E-06
Mobile Home	"IN, 01500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	193	2855	2.13E-05
Single-Family Attached	"IN, 01500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	40	629	4.70E-06
Single-Family Detached	"IN, 01500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	3018	39148	0.000292655
10 to 19 Unit	"IN, 01600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	29	524	3.89E-06
2 Unit	"IN, 01600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	62	742	5.51E-06
20 to 49 Unit	"IN, 01600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	20	362	2.69E-06
3 or 4 Unit	"IN, 01600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	52	767	5.69E-06
5 to 9 Unit	"IN, 01600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	37	534	3.96E-06
50 or more Unit	"IN, 01600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	15	490	3.64E-06
Mobile Home	"IN, 01600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	354	5502	4.08E-05
Single-Family Attached	"IN, 01600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	27	426	3.16E-06
Single-Family Detached	"IN, 01600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2956	38754	0.00028773
10 to 19 Unit	"IN, 01700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	42	1107	8.18E-06
2 Unit	"IN, 01700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	78	1845	1.36E-05
20 to 49 Unit	"IN, 01700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	31	768	5.68E-06
3 or 4 Unit	"IN, 01700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	125	3251	2.40E-05
5 to 9 Unit	"IN, 01700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	79	2469	1.82E-05
50 or more Unit	"IN, 01700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	64	1490	1.10E-05
Mobile Home	"IN, 01700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	81	1790	1.32E-05
Single-Family Attached	"IN, 01700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	40	863	6.38E-06
Single-Family Detached	"IN, 01700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1699	33632	0.000248537
10 to 19 Unit	"IN, 01801"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	63	2347	1.60E-05
2 Unit	"IN, 01801"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	38	769	5.24E-06
20 to 49 Unit	"IN, 01801"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	30	1020	6.96E-06
3 or 4 Unit	"IN, 01801"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	42	1251	8.53E-06
5 to 9 Unit	"IN, 01801"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	56	1825	1.24E-05
50 or more Unit	"IN, 01801"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	20	495	3.38E-06
Mobile Home	"IN, 01801"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	81	1842	1.26E-05
Single-Family Attached	"IN, 01801"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	79	2347	1.60E-05
Single-Family Detached	"IN, 01801"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1741	40201	0.000274184
10 to 19 Unit	"IN, 01802"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	106	3924	2.75E-05
2 Unit	"IN, 01802"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	14	395	2.77E-06
20 to 49 Unit	"IN, 01802"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	45	1546	1.08E-05
3 or 4 Unit	"IN, 01802"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	55	1846	1.30E-05
5 to 9 Unit	"IN, 01802"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	138	4147	2.91E-05
50 or more Unit	"IN, 01802"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	82	2359	1.66E-05
Mobile Home	"IN, 01802"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	6771	39	2.74E-07
Single-Family Attached	"IN, 01802"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	118	2743	1.92E-05
